region,month,inflation,year,date
BANYUWANGI,Januari,4.73,2024,1/1/2024
BANYUWANGI,Februari,5.84,2024,2/1/2024
BANYUWANGI,Maret,5.73,2024,3/1/2024
BANYUWANGI,April,6.66,2024,4/1/2024
BANYUWANGI,Mei,5.95,2024,5/1/2024
BANYUWANGI,Juni,3.53,2024,6/1/2024
BANYUWANGI,Juli,3.03,2024,7/1/2024
BANYUWANGI,Agustus,1.77,2024,8/1/2024
BANYUWANGI,September,1.35,2024,9/1/2024
BANYUWANGI,Oktober,1.06,2024,10/1/2024
BANYUWANGI,November,-0.84,2024,11/1/2024
BANYUWANGI,Desember,0.46,2024,12/1/2024
BANYUWANGI,Januari,3.74,2025,1/1/2025
BANYUWANGI,Februari,1.25,2025,2/1/2025
BANYUWANGI,Maret,1.85,2025,3/1/2025
BANYUWANGI,April,-0.03,2025,4/1/2025
BANYUWANGI,Mei,-2.08,2025,5/1/2025
BANYUWANGI,Juni,1.35,2025,6/1/2025
BANYUWANGI,Juli,2.71,2025,7/1/2025
BANYUWANGI,Agustus,3.5,2025,8/1/2025
BANYUWANGI,September,4.54,2025,9/1/2025
BANYUWANGI,Oktober,4.18,2025,10/1/2025
BANYUWANGI,November,4.24,2025,11/1/2025
BANYUWANGI,Desember,4.7,2025,12/1/2025
BANYUWANGI,Januari,0.17,2026,1/1/2026
BANYUWANGI,Februari,3.24,2026,2/1/2026
BANYUWANGI,Maret,3.4,2026,3/1/2026
BANYUWANGI,April,4.21,2026,4/1/2026
BANYUWANGI,Mei,7.27,2026,5/1/2026
BULUKUMBA,Januari,4.88,2024,1/1/2024
BULUKUMBA,Februari,4.76,2024,2/1/2024
BULUKUMBA,Maret,4.04,2024,3/1/2024
BULUKUMBA,April,3.69,2024,4/1/2024
BULUKUMBA,Mei,1.99,2024,5/1/2024
BULUKUMBA,Juni,2,2024,6/1/2024
BULUKUMBA,Juli,1.42,2024,7/1/2024
BULUKUMBA,Agustus,1.37,2024,8/1/2024
BULUKUMBA,September,0.69,2024,9/1/2024
BULUKUMBA,Oktober,0.71,2024,10/1/2024
BULUKUMBA,November,-0.25,2024,11/1/2024
BULUKUMBA,Desember,-0.78,2024,12/1/2024
BULUKUMBA,Januari,0.67,2025,1/1/2025
BULUKUMBA,Februari,0.89,2025,2/1/2025
BULUKUMBA,Maret,2.28,2025,3/1/2025
BULUKUMBA,April,3.3,2025,4/1/2025
BULUKUMBA,Mei,3.63,2025,5/1/2025
BULUKUMBA,Juni,4.15,2025,6/1/2025
BULUKUMBA,Juli,5.7,2025,7/1/2025
BULUKUMBA,Agustus,6.31,2025,8/1/2025
BULUKUMBA,September,5.92,2025,9/1/2025
BULUKUMBA,Oktober,5.66,2025,10/1/2025
BULUKUMBA,November,5.18,2025,11/1/2025
BULUKUMBA,Desember,4.4,2025,12/1/2025
BULUKUMBA,Januari,3.65,2026,1/1/2026
BULUKUMBA,Februari,4.74,2026,2/1/2026
BULUKUMBA,Maret,4.41,2026,3/1/2026
BULUKUMBA,April,4.78,2026,4/1/2026
BULUKUMBA,Mei,4.92,2026,5/1/2026
CILACAP,Januari,5.13,2024,1/1/2024
CILACAP,Februari,6.4,2024,2/1/2024
CILACAP,Maret,8.58,2024,3/1/2024
CILACAP,April,7.24,2024,4/1/2024
CILACAP,Mei,6.27,2024,5/1/2024
CILACAP,Juni,4.19,2024,6/1/2024
CILACAP,Juli,3.9,2024,7/1/2024
CILACAP,Agustus,3.47,2024,8/1/2024
CILACAP,September,2.25,2024,9/1/2024
CILACAP,Oktober,2.69,2024,10/1/2024
CILACAP,November,1.12,2024,11/1/2024
CILACAP,Desember,2.26,2024,12/1/2024
CILACAP,Januari,5.27,2025,1/1/2025
CILACAP,Februari,2.38,2025,2/1/2025
CILACAP,Maret,2,2025,3/1/2025
CILACAP,April,1.35,2025,4/1/2025
CILACAP,Mei,-0.58,2025,5/1/2025
CILACAP,Juni,2.6,2025,6/1/2025
CILACAP,Juli,3.6,2025,7/1/2025
CILACAP,Agustus,3.73,2025,8/1/2025
CILACAP,September,5.54,2025,9/1/2025
CILACAP,Oktober,5.21,2025,10/1/2025
CILACAP,November,4.56,2025,11/1/2025
CILACAP,Desember,4.49,2025,12/1/2025
CILACAP,Januari,-1.19,2026,1/1/2026
CILACAP,Februari,2.7,2026,2/1/2026
CILACAP,Maret,2.96,2026,3/1/2026
CILACAP,April,3.2,2026,4/1/2026
CILACAP,Mei,6.35,2026,5/1/2026
INDONESIA,Januari,5.84,2024,1/1/2024
INDONESIA,Februari,6.73,2024,2/1/2024
INDONESIA,Maret,8.09,2024,3/1/2024
INDONESIA,April,7.65,2024,4/1/2024
INDONESIA,Mei,6.62,2024,5/1/2024
INDONESIA,Juni,5.11,2024,6/1/2024
INDONESIA,Juli,3.43,2024,7/1/2024
INDONESIA,Agustus,2.98,2024,8/1/2024
INDONESIA,September,1.87,2024,9/1/2024
INDONESIA,Oktober,1.51,2024,10/1/2024
INDONESIA,November,0.69,2024,11/1/2024
INDONESIA,Desember,1.01,2024,12/1/2024
INDONESIA,Januari,3.24,2025,1/1/2025
INDONESIA,Februari,1.43,2025,2/1/2025
INDONESIA,Maret,1.25,2025,3/1/2025
INDONESIA,April,1.4,2025,4/1/2025
INDONESIA,Mei,0.02,2025,5/1/2025
INDONESIA,Juni,1.24,2025,6/1/2025
INDONESIA,Juli,3.54,2025,7/1/2025
INDONESIA,Agustus,3.99,2025,8/1/2025
INDONESIA,September,5.34,2025,9/1/2025
INDONESIA,Oktober,5.38,2025,10/1/2025
INDONESIA,November,4.52,2025,11/1/2025
INDONESIA,Desember,4.95,2025,12/1/2025
INDONESIA,Januari,1.22,2026,1/1/2026
INDONESIA,Februari,3.7,2026,2/1/2026
INDONESIA,Maret,3.5,2026,3/1/2026
INDONESIA,April,3.1,2026,4/1/2026
INDONESIA,Mei,5.4,2026,5/1/2026
JEMBER,Januari,4.31,2024,1/1/2024
JEMBER,Februari,5.45,2024,2/1/2024
JEMBER,Maret,6.79,2024,3/1/2024
JEMBER,April,6.89,2024,4/1/2024
JEMBER,Mei,5.56,2024,5/1/2024
JEMBER,Juni,3.79,2024,6/1/2024
JEMBER,Juli,3.4,2024,7/1/2024
JEMBER,Agustus,3.4,2024,8/1/2024
JEMBER,September,2.31,2024,9/1/2024
JEMBER,Oktober,2.14,2024,10/1/2024
JEMBER,November,1.19,2024,11/1/2024
JEMBER,Desember,2.29,2024,12/1/2024
JEMBER,Januari,6,2025,1/1/2025
JEMBER,Februari,3.16,2025,2/1/2025
JEMBER,Maret,2.59,2025,3/1/2025
JEMBER,April,0.08,2025,4/1/2025
JEMBER,Mei,-1.17,2025,5/1/2025
JEMBER,Juni,1.51,2025,6/1/2025
JEMBER,Juli,2.68,2025,7/1/2025
JEMBER,Agustus,2.94,2025,8/1/2025
JEMBER,September,4.11,2025,9/1/2025
JEMBER,Oktober,3.85,2025,10/1/2025
JEMBER,November,3.46,2025,11/1/2025
JEMBER,Desember,4.38,2025,12/1/2025
JEMBER,Januari,-0.53,2026,1/1/2026
JEMBER,Februari,3.77,2026,2/1/2026
JEMBER,Maret,4.22,2026,3/1/2026
JEMBER,April,4.96,2026,4/1/2026
JEMBER,Mei,7.56,2026,5/1/2026
KAB ACEH TAMIANG,Januari,2.23,2024,1/1/2024
KAB ACEH TAMIANG,Februari,1.76,2024,2/1/2024
KAB ACEH TAMIANG,Maret,5.73,2024,3/1/2024
KAB ACEH TAMIANG,April,4.63,2024,4/1/2024
KAB ACEH TAMIANG,Mei,6.01,2024,5/1/2024
KAB ACEH TAMIANG,Juni,5.5,2024,6/1/2024
KAB ACEH TAMIANG,Juli,0.6,2024,7/1/2024
KAB ACEH TAMIANG,Agustus,-0.28,2024,8/1/2024
KAB ACEH TAMIANG,September,-0.6,2024,9/1/2024
KAB ACEH TAMIANG,Oktober,-0.1,2024,10/1/2024
KAB ACEH TAMIANG,November,-2.72,2024,11/1/2024
KAB ACEH TAMIANG,Desember,1.35,2024,12/1/2024
KAB ACEH TAMIANG,Januari,7.16,2025,1/1/2025
KAB ACEH TAMIANG,Februari,6.01,2025,2/1/2025
KAB ACEH TAMIANG,Maret,4.14,2025,3/1/2025
KAB ACEH TAMIANG,April,3.87,2025,4/1/2025
KAB ACEH TAMIANG,Mei,0.81,2025,5/1/2025
KAB ACEH TAMIANG,Juni,0.69,2025,6/1/2025
KAB ACEH TAMIANG,Juli,6.84,2025,7/1/2025
KAB ACEH TAMIANG,Agustus,9.01,2025,8/1/2025
KAB ACEH TAMIANG,September,11.39,2025,9/1/2025
KAB ACEH TAMIANG,Oktober,10.74,2025,10/1/2025
KAB ACEH TAMIANG,November,6.45,2025,11/1/2025
KAB ACEH TAMIANG,Desember,15.68,2025,12/1/2025
KAB ACEH TAMIANG,Januari,8.59,2026,1/1/2026
KAB ACEH TAMIANG,Februari,4.13,2026,2/1/2026
KAB ACEH TAMIANG,Maret,4.57,2026,3/1/2026
KAB ACEH TAMIANG,April,4.47,2026,4/1/2026
KAB ACEH TAMIANG,Mei,9.19,2026,5/1/2026
KAB ACEH TENGAH,Januari,2.7,2024,1/1/2024
KAB ACEH TENGAH,Februari,6.43,2024,2/1/2024
KAB ACEH TENGAH,Maret,7.29,2024,3/1/2024
KAB ACEH TENGAH,April,8.4,2024,4/1/2024
KAB ACEH TENGAH,Mei,9.47,2024,5/1/2024
KAB ACEH TENGAH,Juni,9.12,2024,6/1/2024
KAB ACEH TENGAH,Juli,4.18,2024,7/1/2024
KAB ACEH TENGAH,Agustus,1.12,2024,8/1/2024
KAB ACEH TENGAH,September,-2.43,2024,9/1/2024
KAB ACEH TENGAH,Oktober,-1.08,2024,10/1/2024
KAB ACEH TENGAH,November,-0.95,2024,11/1/2024
KAB ACEH TENGAH,Desember,1.65,2024,12/1/2024
KAB ACEH TENGAH,Januari,6.52,2025,1/1/2025
KAB ACEH TENGAH,Februari,1.48,2025,2/1/2025
KAB ACEH TENGAH,Maret,0.36,2025,3/1/2025
KAB ACEH TENGAH,April,3.96,2025,4/1/2025
KAB ACEH TENGAH,Mei,2.16,2025,5/1/2025
KAB ACEH TENGAH,Juni,0.68,2025,6/1/2025
KAB ACEH TENGAH,Juli,4.01,2025,7/1/2025
KAB ACEH TENGAH,Agustus,8.92,2025,8/1/2025
KAB ACEH TENGAH,September,10.97,2025,9/1/2025
KAB ACEH TENGAH,Oktober,10.99,2025,10/1/2025
KAB ACEH TENGAH,November,6.83,2025,11/1/2025
KAB ACEH TENGAH,Desember,17.41,2025,12/1/2025
KAB ACEH TENGAH,Januari,6.08,2026,1/1/2026
KAB ACEH TENGAH,Februari,4.73,2026,2/1/2026
KAB ACEH TENGAH,Maret,2.76,2026,3/1/2026
KAB ACEH TENGAH,April,1.21,2026,4/1/2026
KAB ACEH TENGAH,Mei,3.94,2026,5/1/2026
KAB BADUNG,Januari,6.88,2024,1/1/2024
KAB BADUNG,Februari,8.42,2024,2/1/2024
KAB BADUNG,Maret,11.52,2024,3/1/2024
KAB BADUNG,April,12.97,2024,4/1/2024
KAB BADUNG,Mei,11.72,2024,5/1/2024
KAB BADUNG,Juni,6.46,2024,6/1/2024
KAB BADUNG,Juli,4.39,2024,7/1/2024
KAB BADUNG,Agustus,3.19,2024,8/1/2024
KAB BADUNG,September,3.6,2024,9/1/2024
KAB BADUNG,Oktober,3.86,2024,10/1/2024
KAB BADUNG,November,5.9,2024,11/1/2024
KAB BADUNG,Desember,4.33,2024,12/1/2024
KAB BADUNG,Januari,10.59,2025,1/1/2025
KAB BADUNG,Februari,5.91,2025,2/1/2025
KAB BADUNG,Maret,3.96,2025,3/1/2025
KAB BADUNG,April,2.76,2025,4/1/2025
KAB BADUNG,Mei,0.16,2025,5/1/2025
KAB BADUNG,Juni,4.35,2025,6/1/2025
KAB BADUNG,Juli,5.38,2025,7/1/2025
KAB BADUNG,Agustus,4,2025,8/1/2025
KAB BADUNG,September,3.17,2025,9/1/2025
KAB BADUNG,Oktober,4.06,2025,10/1/2025
KAB BADUNG,November,2.52,2025,11/1/2025
KAB BADUNG,Desember,4.84,2025,12/1/2025
KAB BADUNG,Januari,-4.49,2026,1/1/2026
KAB BADUNG,Februari,1.19,2026,2/1/2026
KAB BADUNG,Maret,0.91,2026,3/1/2026
KAB BADUNG,April,0.23,2026,4/1/2026
KAB BADUNG,Mei,3.73,2026,5/1/2026
KAB BANDUNG,Januari,7.04,2024,1/1/2024
KAB BANDUNG,Februari,7.36,2024,2/1/2024
KAB BANDUNG,Maret,8.06,2024,3/1/2024
KAB BANDUNG,April,4.88,2024,4/1/2024
KAB BANDUNG,Mei,3.87,2024,5/1/2024
KAB BANDUNG,Juni,2.68,2024,6/1/2024
KAB BANDUNG,Juli,2.45,2024,7/1/2024
KAB BANDUNG,Agustus,2.05,2024,8/1/2024
KAB BANDUNG,September,1.9,2024,9/1/2024
KAB BANDUNG,Oktober,0.99,2024,10/1/2024
KAB BANDUNG,November,0.52,2024,11/1/2024
KAB BANDUNG,Desember,0.57,2024,12/1/2024
KAB BANDUNG,Januari,1.99,2025,1/1/2025
KAB BANDUNG,Februari,0.64,2025,2/1/2025
KAB BANDUNG,Maret,1,2025,3/1/2025
KAB BANDUNG,April,0.92,2025,4/1/2025
KAB BANDUNG,Mei,-0.08,2025,5/1/2025
KAB BANDUNG,Juni,0.35,2025,6/1/2025
KAB BANDUNG,Juli,1.24,2025,7/1/2025
KAB BANDUNG,Agustus,1.59,2025,8/1/2025
KAB BANDUNG,September,2.96,2025,9/1/2025
KAB BANDUNG,Oktober,3.89,2025,10/1/2025
KAB BANDUNG,November,2.81,2025,11/1/2025
KAB BANDUNG,Desember,3.36,2025,12/1/2025
KAB BANDUNG,Januari,1.2,2026,1/1/2026
KAB BANDUNG,Februari,3.83,2026,2/1/2026
KAB BANDUNG,Maret,3.57,2026,3/1/2026
KAB BANDUNG,April,3.7,2026,4/1/2026
KAB BANDUNG,Mei,5.3,2026,5/1/2026
KAB BANGKA BARAT,Januari,1.45,2024,1/1/2024
KAB BANGKA BARAT,Februari,2.92,2024,2/1/2024
KAB BANGKA BARAT,Maret,4.22,2024,3/1/2024
KAB BANGKA BARAT,April,2.79,2024,4/1/2024
KAB BANGKA BARAT,Mei,-1.4,2024,5/1/2024
KAB BANGKA BARAT,Juni,-1.78,2024,6/1/2024
KAB BANGKA BARAT,Juli,-1.31,2024,7/1/2024
KAB BANGKA BARAT,Agustus,-2.51,2024,8/1/2024
KAB BANGKA BARAT,September,-1.75,2024,9/1/2024
KAB BANGKA BARAT,Oktober,-3.23,2024,10/1/2024
KAB BANGKA BARAT,November,-3.83,2024,11/1/2024
KAB BANGKA BARAT,Desember,-3.86,2024,12/1/2024
KAB BANGKA BARAT,Januari,-0.4,2025,1/1/2025
KAB BANGKA BARAT,Februari,-2.7,2025,2/1/2025
KAB BANGKA BARAT,Maret,-1.03,2025,3/1/2025
KAB BANGKA BARAT,April,0.38,2025,4/1/2025
KAB BANGKA BARAT,Mei,-1.27,2025,5/1/2025
KAB BANGKA BARAT,Juni,-0.48,2025,6/1/2025
KAB BANGKA BARAT,Juli,1.77,2025,7/1/2025
KAB BANGKA BARAT,Agustus,3.61,2025,8/1/2025
KAB BANGKA BARAT,September,4.98,2025,9/1/2025
KAB BANGKA BARAT,Oktober,5.79,2025,10/1/2025
KAB BANGKA BARAT,November,7.62,2025,11/1/2025
KAB BANGKA BARAT,Desember,8.81,2025,12/1/2025
KAB BANGKA BARAT,Januari,5.58,2026,1/1/2026
KAB BANGKA BARAT,Februari,3.62,2026,2/1/2026
KAB BANGKA BARAT,Maret,4.36,2026,3/1/2026
KAB BANGKA BARAT,April,3.75,2026,4/1/2026
KAB BANGKA BARAT,Mei,5.26,2026,5/1/2026
KAB BELITUNG TIMUR,Januari,-5,2024,1/1/2024
KAB BELITUNG TIMUR,Februari,-3.21,2024,2/1/2024
KAB BELITUNG TIMUR,Maret,-0.67,2024,3/1/2024
KAB BELITUNG TIMUR,April,0.34,2024,4/1/2024
KAB BELITUNG TIMUR,Mei,2.37,2024,5/1/2024
KAB BELITUNG TIMUR,Juni,1.89,2024,6/1/2024
KAB BELITUNG TIMUR,Juli,0.2,2024,7/1/2024
KAB BELITUNG TIMUR,Agustus,0.87,2024,8/1/2024
KAB BELITUNG TIMUR,September,-1.78,2024,9/1/2024
KAB BELITUNG TIMUR,Oktober,-3.3,2024,10/1/2024
KAB BELITUNG TIMUR,November,-3.39,2024,11/1/2024
KAB BELITUNG TIMUR,Desember,0.86,2024,12/1/2024
KAB BELITUNG TIMUR,Januari,3.77,2025,1/1/2025
KAB BELITUNG TIMUR,Februari,3,2025,2/1/2025
KAB BELITUNG TIMUR,Maret,-0.1,2025,3/1/2025
KAB BELITUNG TIMUR,April,1,2025,4/1/2025
KAB BELITUNG TIMUR,Mei,-2.6,2025,5/1/2025
KAB BELITUNG TIMUR,Juni,1.92,2025,6/1/2025
KAB BELITUNG TIMUR,Juli,8.05,2025,7/1/2025
KAB BELITUNG TIMUR,Agustus,3.66,2025,8/1/2025
KAB BELITUNG TIMUR,September,4.43,2025,9/1/2025
KAB BELITUNG TIMUR,Oktober,8.26,2025,10/1/2025
KAB BELITUNG TIMUR,November,9.24,2025,11/1/2025
KAB BELITUNG TIMUR,Desember,6.23,2025,12/1/2025
KAB BELITUNG TIMUR,Januari,2.29,2026,1/1/2026
KAB BELITUNG TIMUR,Februari,1.43,2026,2/1/2026
KAB BELITUNG TIMUR,Maret,4.62,2026,3/1/2026
KAB BELITUNG TIMUR,April,4.26,2026,4/1/2026
KAB BELITUNG TIMUR,Mei,7.95,2026,5/1/2026
KAB BERAU,Januari,1.65,2024,1/1/2024
KAB BERAU,Februari,11.14,2024,2/1/2024
KAB BERAU,Maret,11.41,2024,3/1/2024
KAB BERAU,April,9.56,2024,4/1/2024
KAB BERAU,Mei,9.38,2024,5/1/2024
KAB BERAU,Juni,9.18,2024,6/1/2024
KAB BERAU,Juli,4.69,2024,7/1/2024
KAB BERAU,Agustus,4.35,2024,8/1/2024
KAB BERAU,September,6.78,2024,9/1/2024
KAB BERAU,Oktober,7.61,2024,10/1/2024
KAB BERAU,November,5.88,2024,11/1/2024
KAB BERAU,Desember,4.38,2024,12/1/2024
KAB BERAU,Januari,4.22,2025,1/1/2025
KAB BERAU,Februari,1.22,2025,2/1/2025
KAB BERAU,Maret,3.85,2025,3/1/2025
KAB BERAU,April,1.97,2025,4/1/2025
KAB BERAU,Mei,-0.28,2025,5/1/2025
KAB BERAU,Juni,-1.04,2025,6/1/2025
KAB BERAU,Juli,3.79,2025,7/1/2025
KAB BERAU,Agustus,4.42,2025,8/1/2025
KAB BERAU,September,4.38,2025,9/1/2025
KAB BERAU,Oktober,2.89,2025,10/1/2025
KAB BERAU,November,7.61,2025,11/1/2025
KAB BERAU,Desember,7.43,2025,12/1/2025
KAB BERAU,Januari,3.76,2026,1/1/2026
KAB BERAU,Februari,3.95,2026,2/1/2026
KAB BERAU,Maret,2.94,2026,3/1/2026
KAB BERAU,April,3.36,2026,4/1/2026
KAB BERAU,Mei,5.63,2026,5/1/2026
KAB BOJONEGORO,Januari,11.45,2024,1/1/2024
KAB BOJONEGORO,Februari,10.4,2024,2/1/2024
KAB BOJONEGORO,Maret,9.91,2024,3/1/2024
KAB BOJONEGORO,April,10.02,2024,4/1/2024
KAB BOJONEGORO,Mei,5.65,2024,5/1/2024
KAB BOJONEGORO,Juni,0.72,2024,6/1/2024
KAB BOJONEGORO,Juli,0.9,2024,7/1/2024
KAB BOJONEGORO,Agustus,0.38,2024,8/1/2024
KAB BOJONEGORO,September,-0.17,2024,9/1/2024
KAB BOJONEGORO,Oktober,-0.53,2024,10/1/2024
KAB BOJONEGORO,November,-2.9,2024,11/1/2024
KAB BOJONEGORO,Desember,-2.48,2024,12/1/2024
KAB BOJONEGORO,Januari,-0.72,2025,1/1/2025
KAB BOJONEGORO,Februari,-2.13,2025,2/1/2025
KAB BOJONEGORO,Maret,-1.73,2025,3/1/2025
KAB BOJONEGORO,April,-2.86,2025,4/1/2025
KAB BOJONEGORO,Mei,-1.96,2025,5/1/2025
KAB BOJONEGORO,Juni,2.28,2025,6/1/2025
KAB BOJONEGORO,Juli,3.48,2025,7/1/2025
KAB BOJONEGORO,Agustus,3.56,2025,8/1/2025
KAB BOJONEGORO,September,5.18,2025,9/1/2025
KAB BOJONEGORO,Oktober,5.41,2025,10/1/2025
KAB BOJONEGORO,November,4.65,2025,11/1/2025
KAB BOJONEGORO,Desember,4.72,2025,12/1/2025
KAB BOJONEGORO,Januari,1.39,2026,1/1/2026
KAB BOJONEGORO,Februari,4.53,2026,2/1/2026
KAB BOJONEGORO,Maret,5.15,2026,3/1/2026
KAB BOJONEGORO,April,4.22,2026,4/1/2026
KAB BOJONEGORO,Mei,6.68,2026,5/1/2026
KAB DELI SERDANG,Januari,4.73,2024,1/1/2024
KAB DELI SERDANG,Februari,3.51,2024,2/1/2024
KAB DELI SERDANG,Maret,7.07,2024,3/1/2024
KAB DELI SERDANG,April,8.17,2024,4/1/2024
KAB DELI SERDANG,Mei,10.38,2024,5/1/2024
KAB DELI SERDANG,Juni,7.67,2024,6/1/2024
KAB DELI SERDANG,Juli,1.76,2024,7/1/2024
KAB DELI SERDANG,Agustus,0.34,2024,8/1/2024
KAB DELI SERDANG,September,-0.82,2024,9/1/2024
KAB DELI SERDANG,Oktober,-0.78,2024,10/1/2024
KAB DELI SERDANG,November,-2.85,2024,11/1/2024
KAB DELI SERDANG,Desember,0.8,2024,12/1/2024
KAB DELI SERDANG,Januari,5.2,2025,1/1/2025
KAB DELI SERDANG,Februari,5.12,2025,2/1/2025
KAB DELI SERDANG,Maret,2.21,2025,3/1/2025
KAB DELI SERDANG,April,4.55,2025,4/1/2025
KAB DELI SERDANG,Mei,1.27,2025,5/1/2025
KAB DELI SERDANG,Juni,-0.13,2025,6/1/2025
KAB DELI SERDANG,Juli,6.88,2025,7/1/2025
KAB DELI SERDANG,Agustus,12.65,2025,8/1/2025
KAB DELI SERDANG,September,15.84,2025,9/1/2025
KAB DELI SERDANG,Oktober,13.93,2025,10/1/2025
KAB DELI SERDANG,November,9.77,2025,11/1/2025
KAB DELI SERDANG,Desember,11.05,2025,12/1/2025
KAB DELI SERDANG,Januari,2.56,2026,1/1/2026
KAB DELI SERDANG,Februari,2.07,2026,2/1/2026
KAB DELI SERDANG,Maret,2.31,2026,3/1/2026
KAB DELI SERDANG,April,1.82,2026,4/1/2026
KAB DELI SERDANG,Mei,7.03,2026,5/1/2026
KAB DHARMASRAYA,Januari,3.97,2024,1/1/2024
KAB DHARMASRAYA,Februari,6.69,2024,2/1/2024
KAB DHARMASRAYA,Maret,9.63,2024,3/1/2024
KAB DHARMASRAYA,April,10.87,2024,4/1/2024
KAB DHARMASRAYA,Mei,10.1,2024,5/1/2024
KAB DHARMASRAYA,Juni,10.29,2024,6/1/2024
KAB DHARMASRAYA,Juli,3.31,2024,7/1/2024
KAB DHARMASRAYA,Agustus,6.11,2024,8/1/2024
KAB DHARMASRAYA,September,4.61,2024,9/1/2024
KAB DHARMASRAYA,Oktober,3.79,2024,10/1/2024
KAB DHARMASRAYA,November,-0.17,2024,11/1/2024
KAB DHARMASRAYA,Desember,-2.1,2024,12/1/2024
KAB DHARMASRAYA,Januari,3.31,2025,1/1/2025
KAB DHARMASRAYA,Februari,-0.63,2025,2/1/2025
KAB DHARMASRAYA,Maret,-3.29,2025,3/1/2025
KAB DHARMASRAYA,April,-0.84,2025,4/1/2025
KAB DHARMASRAYA,Mei,-3.17,2025,5/1/2025
KAB DHARMASRAYA,Juni,-3.85,2025,6/1/2025
KAB DHARMASRAYA,Juli,2.87,2025,7/1/2025
KAB DHARMASRAYA,Agustus,6.92,2025,8/1/2025
KAB DHARMASRAYA,September,10.02,2025,9/1/2025
KAB DHARMASRAYA,Oktober,9.39,2025,10/1/2025
KAB DHARMASRAYA,November,7.34,2025,11/1/2025
KAB DHARMASRAYA,Desember,10.34,2025,12/1/2025
KAB DHARMASRAYA,Januari,1.97,2026,1/1/2026
KAB DHARMASRAYA,Februari,4.76,2026,2/1/2026
KAB DHARMASRAYA,Maret,5.83,2026,3/1/2026
KAB DHARMASRAYA,April,4.43,2026,4/1/2026
KAB DHARMASRAYA,Mei,9.12,2026,5/1/2026
KAB GORONTALO,Januari,15.09,2024,1/1/2024
KAB GORONTALO,Februari,12.93,2024,2/1/2024
KAB GORONTALO,Maret,13.64,2024,3/1/2024
KAB GORONTALO,April,12.53,2024,4/1/2024
KAB GORONTALO,Mei,15.47,2024,5/1/2024
KAB GORONTALO,Juni,11.87,2024,6/1/2024
KAB GORONTALO,Juli,10.4,2024,7/1/2024
KAB GORONTALO,Agustus,7.67,2024,8/1/2024
KAB GORONTALO,September,7,2024,9/1/2024
KAB GORONTALO,Oktober,0.06,2024,10/1/2024
KAB GORONTALO,November,-0.84,2024,11/1/2024
KAB GORONTALO,Desember,-3.37,2024,12/1/2024
KAB GORONTALO,Januari,-3.13,2025,1/1/2025
KAB GORONTALO,Februari,2.47,2025,2/1/2025
KAB GORONTALO,Maret,5.73,2025,3/1/2025
KAB GORONTALO,April,5.84,2025,4/1/2025
KAB GORONTALO,Mei,-2.04,2025,5/1/2025
KAB GORONTALO,Juni,-0.62,2025,6/1/2025
KAB GORONTALO,Juli,7.29,2025,7/1/2025
KAB GORONTALO,Agustus,5.46,2025,8/1/2025
KAB GORONTALO,September,3.4,2025,9/1/2025
KAB GORONTALO,Oktober,4.39,2025,10/1/2025
KAB GORONTALO,November,3.75,2025,11/1/2025
KAB GORONTALO,Desember,4.11,2025,12/1/2025
KAB GORONTALO,Januari,7.88,2026,1/1/2026
KAB GORONTALO,Februari,8.38,2026,2/1/2026
KAB GORONTALO,Maret,2.69,2026,3/1/2026
KAB GORONTALO,April,3.82,2026,4/1/2026
KAB GORONTALO,Mei,7.04,2026,5/1/2026
KAB GRESIK,Januari,4.15,2024,1/1/2024
KAB GRESIK,Februari,6.26,2024,2/1/2024
KAB GRESIK,Maret,7.2,2024,3/1/2024
KAB GRESIK,April,8.04,2024,4/1/2024
KAB GRESIK,Mei,7.1,2024,5/1/2024
KAB GRESIK,Juni,4.88,2024,6/1/2024
KAB GRESIK,Juli,3.66,2024,7/1/2024
KAB GRESIK,Agustus,4.02,2024,8/1/2024
KAB GRESIK,September,2.89,2024,9/1/2024
KAB GRESIK,Oktober,3.72,2024,10/1/2024
KAB GRESIK,November,3.12,2024,11/1/2024
KAB GRESIK,Desember,2.71,2024,12/1/2024
KAB GRESIK,Januari,4.4,2025,1/1/2025
KAB GRESIK,Februari,0.9,2025,2/1/2025
KAB GRESIK,Maret,1.08,2025,3/1/2025
KAB GRESIK,April,-0.53,2025,4/1/2025
KAB GRESIK,Mei,-2.27,2025,5/1/2025
KAB GRESIK,Juni,0.89,2025,6/1/2025
KAB GRESIK,Juli,2.75,2025,7/1/2025
KAB GRESIK,Agustus,2.31,2025,8/1/2025
KAB GRESIK,September,3.02,2025,9/1/2025
KAB GRESIK,Oktober,3.17,2025,10/1/2025
KAB GRESIK,November,2.77,2025,11/1/2025
KAB GRESIK,Desember,3.49,2025,12/1/2025
KAB GRESIK,Januari,-0.85,2026,1/1/2026
KAB GRESIK,Februari,3.08,2026,2/1/2026
KAB GRESIK,Maret,3.79,2026,3/1/2026
KAB GRESIK,April,3.25,2026,4/1/2026
KAB GRESIK,Mei,5.16,2026,5/1/2026
KAB GUNUNGKIDUL,Januari,8.88,2024,1/1/2024
KAB GUNUNGKIDUL,Februari,9.83,2024,2/1/2024
KAB GUNUNGKIDUL,Maret,11.04,2024,3/1/2024
KAB GUNUNGKIDUL,April,8.75,2024,4/1/2024
